CATEGORY_NAME;LEVEL_NO;LEVEL_DESCR;RPN_CODE;PART_NUMBER;MARKETING_STATUS;PUBLISHED;GENERAL_DESCRIPTION
Automotive Motor Control;2;Segment;261421;TwisterSIM;Active;Y;Dynamic Electro-Thermal simulator for devices in VIPower technology
IoT for Smart Home and City;2;Segment;269707;FP-ATR-BLE1;Active;Y;STM32Cube function pack for asset tracking using BLE connectivity for SensorTile.box wireless multi sensor development kit
IoT for Smart Home and City;2;Segment;271255;SL-VUI-CLOUD-01;Active;Y;Cost-effective and highly integrated AWS IoT qualified Alexa Voice Service design
IoT for Smart Industry;2;Segment;271255;SL-VUI-CLOUD-01;Active;Y;Cost-effective and highly integrated AWS IoT qualified Alexa Voice Service design
IoT for Smart Things;2;Segment;271255;SL-VUI-CLOUD-01;Active;Y;Cost-effective and highly integrated AWS IoT qualified Alexa Voice Service design
Mobility Services;2;Segment;263700;SEL-SPC5;Active;Y;Smart Selector for Micro 32bit Power Architecture products
Telematics and Networking;2;Segment;263700;SEL-SPC5;Active;Y;Smart Selector for Micro 32bit Power Architecture products
Automotive Gateway ;3;Scope;75181;L9637;Active;Y;Monolithic bus driver with ISO9141 Interface
Automotive Gateway ;3;Scope;250839;L99PM62GXP;Active;Y;Power Management IC with LIN and High Speed CAN
Automotive Gateway ;3;Scope;258903;L99PM72GXP;Active;Y;Advanced Power Management sSstem IC with embedded LIN and high speed CAN Transceiver supporting CAN Partial Networking
Automotive Gateway ;3;Scope;265122;SAMPLES-AUTOPMIC;Active;Y;Automotive Voltage Regulators & System Basis Chip Evaluation Tool
Automotive Gateway ;3;Scope;263700;SEL-SPC5;Active;Y;Smart Selector for Micro 32bit Power Architecture products
Automotive Gateway ;3;Scope;258745;SPC5-UDEDEBG;Active;Y;PLS JTAG debugger software full license or license renewal
Automotive Gateway ;3;Scope;259449;SPC5-UDESTK-SW;Active;Y;SPC5-UDESTK Debugging Software for Windows 
Automotive Gateway ;3;Scope;264736;SPC582B-DIS;Active;Y;Discovery Kit for SPC58 2B line 
Automotive Gateway ;3;Scope;264187;SPC584B70E7;Active;Y;32-bit Power Architecture MCU for Automotive General Purpose Applications - Chorus family
Automotive Gateway ;3;Scope;264737;SPC58EC-DISP;Active;Y;Discovery Kit for SPC58EC - C line 
Automotive Gateway ;3;Scope;262662;SPC58EC80C3;Active;Y;32-bit Power Architecture MCU for Automotive General Purpose Applications - Chorus family
Automotive Gateway ;3;Scope;264738;SPC58NG-DISP;Active;Y;Discovery Kit for SPC58NG - G line 
Automotive Gateway ;3;Scope;262998;STSW-SPC5EV-ADIS;Active;Y;SPC5-EV-ADIS Graphical User Interface for M0-7 High Side Drivers
